,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.606871979898633,12.247217067866172,16.716051794688113,25.157479878489177,47.65535889038165,133.4468154429867,666.6795576873117
return_on_capital_employed_pct,3.997018939362967,11.614585370120025,21.38824170110756,35.79048935475245,104.14355183467363,204.41601661402774,877.5761470564529
net_profit_margin_pct,4.619194610984474,7.196145646219258,14.021605915440949,20.34900889030226,29.256935955425824,20.001986952327847,45.2000754879046
debt_to_equity,0.00487918692293894,0.048431069870094295,0.4406663232010991,1.5313501817018051,6.561208758102599,1.635520239060086,2.8973762632869096
interest_coverage,1.6106611743349857,3.179969072942309,11.355507351168956,62.740966386554625,192.2895238095238,126.56183577153266,485.88780717449634
asset_turnover,0.08696042911546041,0.2234348400025603,0.7153796236210254,1.134077393208722,1.617120484035843,3.7042045691692387,16.56971118422916
free_cash_flow_cr,-13136.800000000001,-221.25,981.0,6841.0,19979.500000000007,1346.8478260869565,21381.322724497568
revenue_cagr_5yr,5.838805854237616,8.440832121892061,11.825154521824267,17.296453877925842,21.16813430936688,12.976940290469551,7.472250634281987
pat_cagr_5yr,4.3594698195265895,9.33817057621025,16.2781059479576,23.586675461985045,37.688872454879906,20.92679813646733,21.420586304016986
eps_cagr_5yr,3.3225288597535885,9.179239288916797,14.869835499703509,22.05389168656197,31.639008770631808,18.908302117594914,20.073023282453498
