company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,debt_to_equity,interest_coverage,icr_label,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_3yr,revenue_cagr_3yr_flag,revenue_cagr_5yr,revenue_cagr_5yr_flag,revenue_cagr_10yr,revenue_cagr_10yr_flag,pat_cagr_3yr,pat_cagr_3yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,pat_cagr_10yr,pat_cagr_10yr_flag,eps_cagr_3yr,eps_cagr_3yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,eps_cagr_10yr,eps_cagr_10yr_flag,cfo_quality_score,cfo_quality_label,capex_intensity_pct,capex_label,fcf_conversion_pct,capital_allocation_label,high_leverage_flag,icr_warning_flag,composite_quality_score,yearn,company_name,broad_sector,sub_sector,index_weight_pct,market_cap_category,pe,pb,market_cap_crore,fcf_yield_pct,dividend_yield_pct,net_profit,sales
ICICIBANK,2024-03,28.888011233982798,62.41380175029464,17.99027109750765,5.219877597590544,6.445624336310825,1.3009461331381824,,0.06747535915921023,12547.0,144737.0,63.0,182.308896797153,16.0,1651008.0,157284.0,21.39660074377121,,17.25086850260209,,12.41864172369489,,31.28635844345755,,51.94877118224903,,14.714696775470282,,32.63524026321307,,55.18455739153598,,13.995881918674137,,3.8724380449452576,High Quality,90.7350986734873,Capital Intensive,12.602450783447166,Mixed,0,1,64.9197109124144,2024,ICICI Bank Ltd,Financials,Private Banks,3.87,Large Cap,25.76,6.2,1319221.86,0.0,3.43,52416.0,180551.0
ADANIPORTS,2024-03,30.339560480700833,58.36172363445772,15.3548827162833,15.902511540568032,0.9373223691689719,5.949506037321624,,0.22830109659056916,8250.0,6768.0,38.0,122.17129629629629,16.0,49470.0,15018.0,28.631936311849437,,19.57867595245697,,18.65179197239284,,17.084126579285687,,14.909565182041629,,16.624572854327614,,14.977941578896626,,14.869835499703509,,16.860936130231472,,1.923293066451101,High Quality,25.337875781513237,Capital Intensive,52.92193213163128,Shareholder Returns,0,0,61.445328330147206,2024,"Adani Ports & Special Economic Zone Ltd
",Industrials,Infrastructure,2.12,Large Cap,48.9,2.31,675598.01,1.2211403642233938,1.16,8104.0,26711.0
IRCTC,2024-03,26.01873536299766,34.33255269320843,34.39628482972136,47.78115501519757,0.018575851393188854,82.73684210526316,,0.7010343129207027,667.0,215.0,14.0,20.1875,47.0,60.0,882.0,76.46921430165466,,17.955244103890912,,,INSUFFICIENT,81.11627776293705,,29.16686408659448,,,INSUFFICIENT,91.29311827723889,,28.473515712343932,,,INSUFFICIENT,0.9036900006508211,Moderate,5.035128805620609,Moderate,45.49795361527968,Reinvestor,0,0,57.923041602136436,2024,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,Travel & Tourism,3.97,Mid Cap,60.44,5.74,1258520.29,0.05299874823631171,1.08,1111.0,4270.0
TRENT,2024-03,11.935353535353535,15.927272727272726,36.30776794493609,50.85036935234496,0.4309242871189774,8.043478260869565,,1.7278693102485339,841.0,508.0,42.0,113.0,8.0,1753.0,1349.0,68.36335197744833,,36.30691600183056,,18.15797703617492,,,TURNAROUND,73.11367578503176,,,TURNAROUND,,TURNAROUND,69.52182030724354,,,TURNAROUND,1.1823415460786655,High Quality,4.105050505050505,Moderate,42.668696093353624,Shareholder Returns,0,0,57.817568355264775,2024,Trent Ltd,Consumer Discretionary,Retail,0.73,Large Cap,8.65,11.82,571322.04,0.0,3.46,1477.0,12375.0
EICHERMOT,2024-03,24.195694242864054,26.179245283018872,22.172346910501524,31.683275563258235,0.023219728456636186,114.70588235294117,,0.7153796236210254,890.0,2834.0,146.0,668.3333333333334,35.0,419.0,3724.0,23.776441520116,,11.036936496739692,,9.276892163329876,,43.747506025200565,,12.675841665377696,,22.51828946734826,,43.89717190746498,,12.505451629050324,,25.55272979365966,,0.998535742862353,Moderate,17.138364779874212,Capital Intensive,20.559020559020556,Reinvestor,0,0,56.78869512470739,2024,Eicher Motors Ltd,Consumer Discretionary,Two Wheelers,3.13,Large Cap,15.62,13.61,222391.83,0.4001945575069012,4.41,4001.0,16536.0
LTIM,2024-03,12.90931103415266,17.982937748120616,22.904386052552702,32.09289691701752,0.10345688880007993,31.93243243243243,,1.2894641301190821,1752.0,3918.0,155.0,667.2666666666667,42.0,2071.0,5670.0,42.13101535214459,,30.32798083513346,,21.85605589762474,,33.24835486418234,,24.775129058600996,,16.495191642458163,,11.772828128939317,,12.24383304425547,,-6.666549487610296,,1.016292459052437,High Quality,11.031337106174508,Capital Intensive,27.430718647252235,Shareholder Returns,0,0,56.78130148502864,2024,LTIMindtree Ltd,Information Technology,IT Services,2.64,Large Cap,64.52,2.38,1347046.9,0.13006228662120078,4.43,4574.0,37129.0
SUNPHARMA,2024-03,19.815658700538176,26.84289749881436,15.094161810671148,20.739158363334877,0.051423814535002436,58.331932773109244,,0.5684929901064378,11372.0,763.0,40.0,265.27916666666664,34.0,3274.0,12135.0,13.126755589483485,,10.78116321985565,,11.67163711556578,,61.722961970425125,,24.536829642931245,,9.496531115092143,,49.380158218572156,,29.45936165164078,,10.30542524220699,,1.7566700862393234,High Quality,1.5732931933934058,Asset Light,87.35596865878014,Shareholder Returns,0,0,53.38560518207827,2024,Sun Pharmaceuticals Industries Ltd,Healthcare,Pharmaceuticals,0.3,Large Cap,37.9,6.71,1339586.09,0.8489189373413096,3.88,9610.0,48497.0
MARUTI,2024-03,9.50809964894472,13.130031439890594,15.750385351954785,26.67366334324529,0.001389602503619973,117.90721649484536,,1.230295566502463,4936.0,11865.0,429.0,545.452229299363,29.0,119.0,16801.0,26.323644326166008,,10.510215112642584,,12.2815532690568,,45.387585949345265,,12.007182039300378,,16.801752458674525,,43.55878145035321,,11.139222486886503,,16.394629934979687,,1.1324044582012847,High Quality,8.363997800617518,Capital Intensive,26.500590572318266,Shareholder Returns,0,0,52.1947000512204,2024,Maruti Suzuki India Ltd,Consumer Discretionary,Automobiles,1.36,Mid Cap,20.78,8.26,1503863.63,0.3282212496887102,1.78,13488.0,141858.0
DRREDDY,2024-03,19.913605369319196,28.321016743422227,19.74233736816026,29.223955579058696,0.07085722375592836,51.707602339181285,,0.7223053120165034,509.0,4034.0,67.0,340.4096385542169,12.0,2002.0,4543.0,13.71726615103832,,12.639644349571988,,7.640025915260695,,41.90561020689674,,23.392504645437473,,11.008394366816532,,42.81779454599071,,23.842409558387544,,11.284504563028698,,1.3421751740527739,High Quality,14.401485130841454,Capital Intensive,6.416235976301525,Shareholder Returns,0,0,52.16472577283359,2024,Dr Reddys Laboratories Ltd,Healthcare,Pharmaceuticals,1.01,Mid Cap,11.73,10.19,2441803.28,0.020845250072724943,0.09,5578.0,28011.0
INFY,2024-03,17.08075746730006,23.703390381987376,29.788006718416632,42.63902565431459,0.09486358890553362,87.52340425531915,,1.129760329363329,20117.0,5093.0,63.0,42.54756156446161,,8359.0,25210.0,15.216500798806365,,13.199100930556229,,11.852717458931128,,10.558796476740762,,11.239419983657939,,9.433477603192465,,11.868894208139679,,12.474611314209483,,10.60156477390728,,1.037696383329751,High Quality,3.314244810307802,Moderate,55.22855181880576,Shareholder Returns,0,0,49.43055814580774,2024,Infosys Ltd,Information Technology,IT Services,3.37,Large Cap,35.99,8.97,1112279.92,1.808627454139422,4.1,26248.0,153670.0
